01:16:27 -   [ml] Progress: 50/696
01:17:00 -   [ml] Progress: 100/696
01:17:19 -   [ml] Progress: 100/696
01:17:42 -   [ml] Progress: 150/696
01:17:59 -   [ml] Progress: 150/696
01:18:28 -   [ml] Progress: 200/696
01:18:51 -   [ml] Progress: 200/696
01:19:23 -   [ml] Progress: 250/696
01:19:34 -   [ml] Progress: 250/696
01:19:58 -   [ml] Progress: 300/696
01:20:22 -   [ml] Progress: 300/696
01:20:49 -   [ml] Progress: 350/696
01:21:06 -   [ml] Progress: 350/696
01:21:31 -   [ml] Progress: 400/696
